timestamp,estQSet_Q1,estQSet_Q2,estQSet_Q3,estQSet_X,estQSet_Y,estQSet_Z
2024-11-17 09:27:12,-87,0,83,6,0,-10
2024-11-17 09:27:42,-90,0,96,4,0,-8
2024-11-17 09:28:12,-93,1,106,4,0,-7
2024-11-17 09:28:42,-94,1,113,3,-1,-5
2024-11-17 09:29:12,-95,0,118,2,1,-4
2024-11-17 09:29:42,-96,0,120,1,0,-2
2024-11-17 09:30:12,-95,-1,121,1,1,-1
2024-11-17 09:30:42,-94,-2,121,1,0,-1
2024-11-17 09:31:12,-93,-4,121,-1,-1,0
2024-11-17 09:31:42,-91,-5,121,-1,-1,0
2024-11-17 09:32:12,-89,-6,121,-1,-1,1
2024-11-17 09:32:42,-86,-8,119,-1,-1,2
2024-11-17 09:33:12,-83,-10,117,-2,0,2
2024-11-17 09:33:42,-79,-11,114,-2,-2,2
2024-11-17 09:34:12,-75,-11,112,-3,-2,3
2024-11-17 09:34:42,-71,-11,110,-3,-2,1
2024-11-17 09:35:12,-67,-12,108,-3,-2,2
2024-11-17 09:35:42,-62,-11,105,-3,-3,2
2024-11-17 09:36:12,-57,-11,103,-3,-2,2
2024-11-17 09:36:42,-52,-12,100,-3,-2,4
2024-11-17 09:37:12,-47,-12,97,-4,-3,3
2024-11-17 09:37:42,-40,-12,93,-5,-3,4
2024-11-17 09:38:12,-31,-12,87,-6,-3,4
2024-11-17 09:38:42,-23,-11,82,-6,-3,4
2024-11-17 09:39:12,-13,-10,75,-7,-2,5
2024-11-17 09:39:42,-4,-9,70,-7,-2,4
2024-11-17 09:40:12,3,-9,65,-7,-3,3
2024-11-17 09:40:43,11,-9,61,-6,-2,4
2024-11-17 09:41:13,18,-9,57,-5,-2,2
2024-11-17 09:41:43,23,-9,54,-3,-3,3
2024-11-17 09:42:13,26,-8,53,-2,-3,2
2024-11-17 09:42:43,27,-7,52,-1,-3,2
2024-11-17 09:43:13,28,-6,52,-1,-2,2
2024-11-17 09:43:43,29,-5,52,-1,-1,2
2024-11-17 09:44:13,30,-4,51,-2,-2,1
2024-11-17 09:44:43,32,-3,51,-2,-2,2
2024-11-17 09:45:13,35,-2,51,-3,-1,2
2024-11-17 09:45:43,37,-3,51,-1,0,0
2024-11-17 09:46:13,40,-2,52,-3,0,1
2024-11-17 09:46:43,43,-2,51,-2,-1,1
2024-11-17 09:47:13,45,0,51,-1,-1,2
2024-11-17 09:47:43,45,0,50,1,0,0
2024-11-17 09:48:13,43,1,50,1,0,1
2024-11-17 09:48:43,40,3,49,1,1,1
2024-11-17 09:49:13,38,5,47,1,0,2
2024-11-17 09:49:43,36,5,46,2,2,1
2024-11-17 09:50:13,32,6,44,3,1,3
2024-11-17 09:50:43,27,7,42,4,2,1
2024-11-17 09:51:13,22,8,40,3,2,2
2024-11-17 09:51:43,20,8,38,2,1,2
2024-11-17 09:52:13,19,8,37,0,2,1
2024-11-17 09:52:43,19,9,36,1,1,1
2024-11-17 09:53:13,18,8,35,1,2,1
2024-11-17 09:53:43,17,8,35,1,2,1
2024-11-17 09:54:13,17,9,36,-1,1,0
2024-11-17 09:54:43,20,8,36,-2,1,-1
2024-11-17 09:55:13,23,7,39,-1,2,-1
2024-11-17 09:55:43,26,5,41,-1,1,-1
2024-11-17 09:56:13,28,3,43,0,1,0
2024-11-17 09:56:43,29,1,43,-1,1,-1
2024-11-17 09:57:13,28,0,43,1,0,1
2024-11-17 09:57:43,28,0,42,1,0,1
2024-11-17 09:58:13,27,0,40,2,-1,1
2024-11-17 09:58:43,26,-1,37,1,0,2
2024-11-17 09:59:14,25,-1,35,1,0,2
2024-11-17 09:59:44,24,-1,33,1,0,1
2024-11-17 10:00:14,24,-1,31,1,-1,1
2024-11-17 10:00:44,25,0,31,0,-1,0
2024-11-17 10:01:14,25,-1,30,0,0,1
2024-11-17 10:01:44,27,-1,31,-1,-1,-1
2024-11-17 10:02:14,30,0,32,0,-1,-1
2024-11-17 10:02:44,32,0,34,0,-1,0
2024-11-17 10:03:14,34,-1,36,-1,0,-1
2024-11-17 10:03:44,37,-2,39,0,-1,-3
2024-11-17 10:04:14,40,-3,41,0,-1,-1
2024-11-17 10:04:44,41,-4,42,-1,-1,-1
2024-11-17 10:05:14,44,-5,44,0,-1,-1
2024-11-17 10:05:44,46,-5,45,1,-2,-2
2024-11-17 10:06:14,46,-6,45,0,-2,-1
2024-11-17 10:06:44,47,-6,44,-1,-2,-1
2024-11-17 10:07:14,47,-5,42,1,-1,1
2024-11-17 10:07:44,47,-4,40,0,-2,1
2024-11-17 10:08:14,46,-3,37,0,-2,0
2024-11-17 10:08:44,45,-2,34,0,-2,0
2024-11-17 10:09:14,45,-2,31,0,-2,0
2024-11-17 10:09:44,45,-2,30,-1,0,0
2024-11-17 10:10:14,45,-2,28,-1,-1,-1
2024-11-17 10:10:44,45,-1,26,-1,-1,0
2024-11-17 10:11:14,44,0,23,-1,-1,0
2024-11-17 10:11:44,43,0,18,0,0,0
2024-11-17 10:12:14,41,0,14,0,0,0
2024-11-17 10:12:44,41,1,12,0,0,-1
2024-11-17 10:13:14,42,1,11,-1,0,-2
2024-11-17 10:13:44,42,2,10,-1,1,-2
2024-11-17 10:14:14,42,3,10,0,0,-2
2024-11-17 10:14:44,42,3,10,-1,0,-2
2024-11-17 10:15:14,42,3,9,0,0,-3
2024-11-17 10:15:44,42,4,9,0,0,-4
2024-11-17 10:16:14,43,5,9,-1,1,-3
2024-11-17 10:16:45,42,5,6,1,2,-2
2024-11-17 10:17:15,41,6,4,0,1,-1
2024-11-17 10:17:45,39,6,0,1,2,0
2024-11-17 10:18:15,37,7,-6,1,1,2
2024-11-17 10:18:45,35,7,-11,-1,1,0
2024-11-17 10:19:15,33,7,-17,0,1,2
2024-11-17 10:19:45,30,7,-24,1,1,3
2024-11-17 10:20:15,28,7,-31,1,1,3
2024-11-17 10:20:45,26,8,-38,1,2,4
2024-11-17 10:21:15,24,9,-43,0,2,2
2024-11-17 10:21:45,23,10,-47,0,3,3
2024-11-17 10:22:15,21,10,-52,1,2,3
2024-11-17 10:22:45,20,9,-55,1,3,1
2024-11-17 10:23:15,19,9,-57,0,3,1
2024-11-17 10:23:45,18,10,-59,1,2,2
2024-11-17 10:24:15,17,10,-63,1,2,3
2024-11-17 10:24:45,15,9,-67,1,2,2
2024-11-17 10:25:15,14,8,-70,0,2,2
2024-11-17 10:25:45,12,7,-72,1,1,2
2024-11-17 10:26:15,11,7,-74,1,1,0
2024-11-17 10:26:45,9,7,-75,1,1,0
2024-11-17 10:27:15,9,7,-75,0,2,0
2024-11-17 10:27:45,8,7,-75,1,2,0
2024-11-17 10:28:15,7,7,-74,0,2,-1
