timestamp,adcsErrFlags,estAngRateNorm,estAngRateVec_X,estAngRateVec_Y,estAngRateVec_Z,estAttAngles_Roll,estAttAngles_Pitch,estAttAngles_Yaw,measWheelSpeed_X,measWheelSpeed_Y,measWheelSpeed_Z
2024-11-17 12:31:52,0,0,0,0,0,8580,-310,-3200,0,-3711,0
2024-11-17 12:32:22,0,0,0,0,0,8420,-250,-3820,0,-3721,0
2024-11-17 12:32:52,0,0,0,0,0,8200,-220,-4370,0,-3728,0
2024-11-17 12:33:22,0,0,0,0,0,8040,-200,-4900,0,-3734,0
2024-11-17 12:33:52,0,0,0,0,0,7860,-200,-5510,0,-3745,0
2024-11-17 12:34:22,0,0,0,0,0,7640,-190,-6190,0,-3753,0
2024-11-17 12:34:52,0,0,0,0,0,7460,-250,-6930,0,-3774,0
2024-11-17 12:35:22,0,0,0,0,0,7260,-300,-7680,0,-3794,0
2024-11-17 12:35:52,0,0,0,0,0,7040,-340,-8430,0,-3821,0
2024-11-17 12:36:22,0,0,0,0,0,6820,-340,-9090,0,-3844,0
2024-11-17 12:36:52,0,0,0,0,0,6610,-320,-9680,0,-3865,0
2024-11-17 12:37:22,0,0,0,0,0,6390,-200,-10240,0,-3857,0
2024-11-17 12:37:53,0,0,0,0,0,6210,-180,-10710,0,-3863,0
2024-11-17 12:38:23,0,0,0,0,0,6030,-220,-11140,0,-3867,0
2024-11-17 12:38:53,0,0,0,0,0,5810,-290,-11450,0,-3883,0
2024-11-17 12:39:23,0,0,0,0,0,5610,-360,-11770,0,-3901,0
2024-11-17 12:39:53,0,0,0,0,0,5400,-360,-11930,0,-3924,0
2024-11-17 12:40:23,0,0,0,0,0,5190,-200,-12060,0,-3915,0
2024-11-17 12:40:53,0,0,0,0,0,4940,-50,-12010,0,-3896,0
2024-11-17 12:41:23,0,0,0,0,0,4750,-50,-11930,0,-3875,0
2024-11-17 12:41:53,0,0,0,0,0,4450,-110,-11670,0,-3878,0
2024-11-17 12:42:23,0,0,0,0,0,4190,-60,-11250,0,-3870,0
2024-11-17 12:42:53,0,0,0,0,0,3960,90,-10730,0,-3843,0
2024-11-17 12:43:23,0,0,0,0,0,3730,220,-10080,0,-3816,0
2024-11-17 12:43:53,0,0,0,0,0,3510,320,-9370,0,-3788,0
2024-11-17 12:44:23,0,0,0,0,0,3260,410,-8670,0,-3766,0
2024-11-17 12:44:53,0,0,0,0,0,3020,510,-7890,0,-3739,0
2024-11-17 12:45:23,0,0,0,0,0,2720,630,-7030,0,-3702,0
