timestamp,magFieldVec_X,magFieldVec_Y,magFieldVec_Z,coarseSunVec_X,coarseSunVec_Y,coarseSunVec_Z,fineSunVec_X,fineSunVec_Y,fineSunVec_Z,nadirVec_X,nadirVec_Y,nadirVec_Z,angRateVec_X,angRateVec_Y,angRateVec_Z,wheelSpeedArr_X,wheelSpeedArr_Y,wheelSpeedArr_Z
2024-11-17 16:39:08,-2575,13,-223,1781,-520,-9826,3208,-687,-9446,131,-197,9997,3,-5,4,0,-3605,0
2024-11-17 16:39:38,-2581,9,-354,3163,-561,-9470,2971,-697,-9523,113,-148,9998,3,-6,5,0,-3603,0
2024-11-17 16:40:08,-2583,7,-465,2842,-200,-9586,2786,-709,-9578,112,-133,9998,3,-6,4,0,-3603,0
2024-11-17 16:40:38,-2586,2,-603,2581,-860,-9623,2574,-700,-9638,99,-127,9999,2,-7,3,0,-3607,0
2024-11-17 16:41:08,-2584,-3,-731,2184,-902,-9717,2387,-670,-9688,75,-148,9999,1,-6,3,0,-3605,0
2024-11-17 16:41:38,-2572,-14,-869,3188,-822,-9443,2171,-642,-9740,47,-140,9999,2,-6,3,0,-3591,0
2024-11-17 16:42:08,-2567,-19,-1007,1422,-340,-9893,1969,-594,-9786,47,-213,9998,2,-6,3,0,-3574,0
2024-11-17 16:42:38,-2563,-20,-1115,2481,-900,-9645,1761,-543,-9829,42,-218,9998,3,-6,4,0,-3566,0
2024-11-17 16:43:08,-2549,-33,-1245,3303,-1681,-9288,1519,-495,-9872,42,-216,9998,2,-7,2,0,-3560,0
2024-11-17 16:43:38,-2539,-40,-1365,2622,-1661,-9506,1296,-461,-9905,51,-248,9997,2,-6,2,0,-3554,0
2024-11-17 16:44:08,-2517,-47,-1497,560,-220,-9982,1073,-421,-9933,73,-332,9994,2,-6,1,0,-3546,0
2024-11-17 16:44:38,-2503,-50,-1616,440,-160,-9989,849,-354,-9958,79,-386,9992,1,-6,3,0,-3549,0
2024-11-17 16:45:08,-2483,-55,-1733,-681,320,-9972,654,-300,-9974,77,-452,9989,2,-5,1,0,-3546,0
2024-11-17 16:45:38,-2456,-61,-1856,180,-100,-9998,420,-258,-9988,79,-454,9989,3,-6,2,0,-3535,0
2024-11-17 16:46:08,-2441,-71,-1970,-240,420,-9988,173,-229,-9996,101,-487,9988,3,-6,2,0,-3517,0
2024-11-17 16:46:38,-2410,-74,-2088,180,280,-9994,-96,-171,-9998,134,-530,9985,2,-6,1,0,-3518,0
2024-11-17 16:47:08,-2392,-84,-2195,701,180,-9974,-345,-133,-9993,162,-574,9982,2,-6,2,0,-3518,0
2024-11-17 16:47:38,-2372,-92,-2297,-500,0,-9987,-570,-106,-9983,180,-570,9982,3,-6,1,0,-3510,0
2024-11-17 16:48:08,-2341,-98,-2402,-3082,380,-9506,-802,-87,-9967,192,-534,9984,3,-6,2,0,-3511,0
2024-11-17 16:48:38,-2315,-108,-2513,-2103,-100,-9776,-1070,-84,-9942,232,-560,9982,2,-4,1,0,-3513,0
2024-11-17 16:49:08,-2290,-116,-2615,-1722,-200,-9849,-1314,-77,-9913,258,-574,9980,3,-5,2,0,-3524,0
2024-11-17 16:49:39,-2249,-123,-2719,-2265,120,-9739,-1545,-78,-9880,258,-567,9981,4,-5,3,0,-3531,0
2024-11-17 16:50:09,-2214,-134,-2821,-440,-60,-9990,-1759,-99,-9844,269,-579,9980,3,-4,3,0,-3544,0
2024-11-17 16:50:39,-2171,-156,-2924,-1984,-80,-9801,-1942,-151,-9808,230,-494,9985,3,-4,4,0,-3547,0
2024-11-17 16:51:09,-2124,-178,-3031,-1621,-140,-9867,-2149,-210,-9764,209,-433,9988,5,-4,5,0,-3540,0
2024-11-17 16:51:39,-2080,-194,-3131,-4123,-641,-9088,-2344,-244,-9718,171,-330,9993,4,-4,5,0,-3522,0
