timestamp,adcsErrFlags,estAngRateNorm,estAngRateVec_X,estAngRateVec_Y,estAngRateVec_Z,estAttAngles_Roll,estAttAngles_Pitch,estAttAngles_Yaw,measWheelSpeed_X,measWheelSpeed_Y,measWheelSpeed_Z
2024-11-17 18:42:15,0,0,0,0,0,4200,-730,-5690,0,-3695,0
2024-11-17 18:42:45,0,0,0,0,0,4270,-710,-5910,0,-3684,0
2024-11-17 18:43:15,0,0,0,0,0,4360,-740,-6070,0,-3684,0
2024-11-17 18:43:45,0,0,0,0,0,4550,-720,-6370,0,-3668,0
2024-11-17 18:44:15,0,0,0,0,0,4820,-770,-6690,0,-3658,0
2024-11-17 18:44:45,0,0,0,0,0,5000,-860,-6980,0,-3667,0
2024-11-17 18:45:15,0,0,0,0,0,5190,-850,-7230,0,-3664,0
2024-11-17 18:45:45,0,0,0,0,0,5380,-790,-7490,0,-3658,0
2024-11-17 18:46:15,0,0,0,0,0,5560,-710,-7650,0,-3646,0
2024-11-17 18:46:45,0,0,0,0,0,5680,-640,-7780,0,-3636,0
2024-11-17 18:47:15,0,0,0,0,0,5790,-510,-7990,0,-3610,0
2024-11-17 18:47:45,0,0,0,0,0,5910,-500,-8180,0,-3603,0
2024-11-17 18:48:15,0,0,0,0,0,5810,-480,-8250,0,-3602,0
2024-11-17 18:48:45,0,0,0,0,0,5760,-400,-8300,0,-3599,0
2024-11-17 18:49:15,0,0,0,0,0,5790,-320,-8370,0,-3591,0
2024-11-17 18:49:45,0,0,0,0,0,6030,-230,-8490,0,0,0
2024-11-17 18:50:15,0,0,0,0,0,6360,-190,-8610,0,-3556,0
2024-11-17 18:50:45,0,0,0,0,0,6690,-130,-8720,0,-3536,0
2024-11-17 18:51:15,0,0,0,0,0,7010,-90,-8830,0,-3511,0
2024-11-17 18:51:45,0,0,0,0,0,7200,-70,-8840,0,-3483,0
2024-11-17 18:52:15,0,0,0,0,0,7450,-110,-8910,0,-3469,0
2024-11-17 18:52:45,0,0,0,0,0,7750,-180,-8960,0,-3460,0
2024-11-17 18:53:15,0,0,0,0,0,8050,-170,-9000,0,-3441,0
2024-11-17 18:53:45,0,0,0,0,0,8330,-220,-9050,0,-3420,0
2024-11-17 18:54:15,0,0,0,0,0,8510,-260,-9110,0,-3403,0
2024-11-17 18:54:46,0,0,0,0,0,8570,-320,-9160,0,-3387,0
2024-11-17 18:55:16,0,0,0,0,0,8640,-460,-9170,0,-3390,0
2024-11-17 18:55:46,0,0,0,0,0,8680,-570,-9190,0,-3398,0
2024-11-17 18:56:16,0,0,0,0,0,8620,-560,-9210,0,-3395,0
2024-11-17 18:56:46,0,0,0,0,0,8600,-510,-9180,0,-3384,0
2024-11-17 18:57:16,0,0,0,0,0,8620,-470,-9160,0,-3373,0
2024-11-17 18:57:46,0,0,0,0,0,8610,-470,-9100,0,-3364,0
2024-11-17 18:58:16,0,0,0,0,0,8460,-450,-9060,0,-3364,0
2024-11-17 18:58:46,0,0,0,0,0,8260,-420,-9070,0,-3361,0
2024-11-17 18:59:16,0,0,0,0,0,8070,-340,-9060,0,-3349,0
2024-11-17 18:59:46,0,0,0,0,0,7750,-320,-9170,0,-3341,0
2024-11-17 19:00:16,0,0,0,0,0,7360,-400,-9290,0,-3362,0
2024-11-17 19:00:46,0,0,0,0,0,7060,-370,-9390,0,-3366,0
2024-11-17 19:01:16,0,0,0,0,0,6710,-350,-9500,0,-3369,0
2024-11-17 19:01:46,0,0,0,0,0,6380,-360,-9640,0,-3375,0
2024-11-17 19:02:16,0,0,0,0,0,6050,-400,-9680,0,-3384,0
2024-11-17 19:02:46,0,0,0,0,0,5830,-420,-9710,0,-3391,0
2024-11-17 19:03:16,0,0,0,0,0,5530,-450,-9750,0,-3396,0
2024-11-17 19:03:46,0,0,0,0,0,5240,-570,-9830,0,-3418,0
2024-11-17 19:04:16,0,0,0,0,0,4930,-610,-9890,0,-3433,0
2024-11-17 19:04:46,0,0,0,0,0,4660,-610,-9990,0,-3441,0
2024-11-17 19:05:16,0,0,0,0,0,4340,-620,-10100,0,-3440,0
2024-11-17 19:05:46,0,0,0,0,0,4060,-710,-10180,0,-3448,0
2024-11-17 19:06:16,0,0,0,0,0,3760,-820,-10280,0,-3461,0
2024-11-17 19:06:46,0,0,0,0,0,3550,-910,-10270,0,-3470,0
2024-11-17 19:07:16,0,0,0,0,0,3290,-1010,-10310,0,-3483,0
2024-11-17 19:07:46,0,0,0,0,0,3050,-1090,-10400,0,-3489,0
2024-11-17 19:08:16,0,0,0,0,0,2780,-1200,-10480,0,-3504,0
2024-11-17 19:08:46,0,0,0,0,0,2510,-1230,-10580,0,-3501,0
2024-11-17 19:09:16,0,0,0,0,0,2210,-1380,-10690,0,-3525,0
2024-11-17 19:09:46,0,0,0,0,0,1900,-1460,-10860,0,-3549,0
2024-11-17 19:10:16,0,0,0,0,0,1590,-1440,-11000,0,-3555,0
2024-11-17 19:10:46,0,0,0,0,0,1240,-1470,-11260,0,-3576,0
2024-11-17 19:11:16,0,0,0,0,0,840,-1400,-11560,0,-3590,0
2024-11-17 19:11:46,0,0,0,0,0,490,-1300,-11890,0,-3597,0
2024-11-17 19:12:17,0,0,0,0,0,50,-1170,-12320,0,-3590,0
2024-11-17 19:12:47,0,0,0,0,0,-360,-1180,-12650,0,-3599,0
2024-11-17 19:13:17,0,0,0,0,0,-670,-1210,-12740,0,-3615,0
2024-11-17 19:13:47,0,0,0,0,0,-830,-1270,-12580,0,-3625,0
2024-11-17 19:14:17,0,0,0,0,0,-920,-1340,-12160,0,-3642,0
2024-11-17 19:14:47,0,0,0,0,0,-960,-1340,-11670,0,-3668,0
2024-11-17 19:15:17,0,0,0,0,0,-990,-1180,-11110,0,-3667,0
2024-11-17 19:15:47,0,0,0,0,0,-970,-1030,-10460,0,-3651,0
2024-11-17 19:16:17,0,0,0,0,0,-950,-890,-9730,0,-3639,0
2024-11-17 19:16:47,0,0,0,0,0,-920,-800,-8860,0,-3634,0
2024-11-17 19:17:17,0,1,0,0,1,-900,-710,-7890,0,-3625,0
2024-11-17 19:17:47,0,0,0,0,0,-880,-620,-6780,0,-3612,0
2024-11-17 19:18:17,0,1,0,0,1,-850,-580,-5630,0,-3602,0
2024-11-17 19:18:47,0,1,0,0,1,-830,-560,-4380,0,-3598,0
2024-11-17 19:19:17,0,1,0,0,1,-820,-530,-3110,0,-3593,0
