timestamp,estQSet_Q1,estQSet_Q2,estQSet_Q3,estQSet_X,estQSet_Y,estQSet_Z
2024-11-17 21:47:34,-32,0,-30,-2,-1,0
2024-11-17 21:48:04,-31,0,-31,-1,0,1
2024-11-17 21:48:34,-31,1,-32,-1,-1,0
2024-11-17 21:49:04,-30,2,-33,-1,1,1
2024-11-17 21:49:34,-30,3,-33,0,1,1
2024-11-17 21:50:04,-30,4,-33,-1,-1,-1
2024-11-17 21:50:34,-30,4,-30,0,1,-1
2024-11-17 21:51:04,-32,3,-27,1,2,-3
2024-11-17 21:51:34,-33,3,-24,1,1,-1
2024-11-17 21:52:04,-35,3,-21,1,1,-3
2024-11-17 21:52:34,-37,3,-16,2,0,-2
2024-11-17 21:53:04,-40,3,-11,2,0,-3
2024-11-17 21:53:34,-42,2,-7,3,0,-3
2024-11-17 21:54:04,-46,2,0,2,1,-4
2024-11-17 21:54:34,-49,1,5,4,1,-4
2024-11-17 21:55:04,-52,1,12,3,0,-5
2024-11-17 21:55:34,-55,1,18,3,0,-5
2024-11-17 21:56:04,-59,1,25,4,1,-5
2024-11-17 21:56:34,-62,1,32,4,1,-5
2024-11-17 21:57:05,-65,2,39,3,1,-5
2024-11-17 21:57:35,-68,4,45,3,-1,-5
2024-11-17 21:58:05,-70,4,51,3,1,-5
2024-11-17 21:58:35,-73,3,58,3,1,-5
2024-11-17 21:59:05,-75,3,63,3,0,-5
2024-11-17 21:59:35,-76,3,68,3,0,-4
2024-11-17 22:00:05,-77,3,73,3,1,-3
2024-11-17 22:00:35,-77,3,75,2,1,-3
2024-11-17 22:01:05,-79,2,80,1,0,-3
2024-11-17 22:01:35,-84,1,86,3,1,-4
2024-11-17 22:02:05,-88,1,93,3,0,-4
2024-11-17 22:02:35,-92,1,100,2,0,-3
2024-11-17 22:03:05,-97,2,107,2,0,-3
2024-11-17 22:03:35,-101,4,114,2,0,-2
2024-11-17 22:04:05,-105,5,121,3,1,-3
2024-11-17 22:04:35,-110,6,128,3,1,-4
2024-11-17 22:05:05,-115,7,136,4,0,-4
2024-11-17 22:05:35,-120,8,144,4,2,-3
2024-11-17 22:06:05,-125,8,151,2,2,-2
2024-11-17 22:06:35,-128,6,156,1,2,-3
2024-11-17 22:07:05,-129,7,160,1,2,-2
2024-11-17 22:07:35,-129,6,162,-1,1,-1
2024-11-17 22:08:05,-128,5,163,-2,1,-1
2024-11-17 22:08:35,-126,5,161,-2,1,0
2024-11-17 22:09:05,-124,4,160,-2,1,-1
2024-11-17 22:09:35,-121,4,158,-2,0,-1
2024-11-17 22:10:05,-120,3,156,-2,1,-1
2024-11-17 22:10:35,-119,2,154,-1,1,-2
2024-11-17 22:11:05,-117,1,152,-1,1,0
2024-11-17 22:11:35,-113,1,147,-3,0,1
2024-11-17 22:12:05,-108,0,142,-3,0,-1
2024-11-17 22:12:35,-103,0,136,-3,0,-1
2024-11-17 22:13:05,-96,0,129,-2,-1,0
2024-11-17 22:13:35,-87,-1,122,-4,0,-1
2024-11-17 22:14:05,-76,-2,111,-3,0,0
2024-11-17 22:14:35,-63,-3,100,-3,-1,0
2024-11-17 22:15:05,-52,-4,89,-3,0,-1
2024-11-17 22:15:36,-41,-4,78,-2,-1,0
2024-11-17 22:16:06,-33,-3,69,0,-2,0
2024-11-17 22:16:36,-25,-2,59,0,-1,1
2024-11-17 22:17:06,-19,-2,50,1,0,0
2024-11-17 22:17:36,-13,-2,42,1,0,1
2024-11-17 22:18:06,-10,-2,34,2,-1,1
2024-11-17 22:18:36,-8,-2,28,3,0,0
2024-11-17 22:19:06,-8,-2,22,3,0,2
2024-11-17 22:19:36,-7,-2,16,1,-1,1
2024-11-17 22:20:06,-7,-2,11,3,0,2
2024-11-17 22:20:36,-8,-2,7,2,-1,2
2024-11-17 22:21:06,-10,-1,2,3,-1,2
2024-11-17 22:21:36,-10,0,-1,1,0,2
2024-11-17 22:22:06,-11,0,-5,2,1,1
2024-11-17 22:22:36,-13,-1,-10,4,-1,2
2024-11-17 22:23:06,-16,0,-14,2,-1,1
2024-11-17 22:23:36,-18,0,-18,3,0,3
2024-11-17 22:24:06,-20,0,-22,2,0,2
2024-11-17 22:24:36,-22,1,-26,2,0,1
2024-11-17 22:25:06,-24,2,-29,2,0,1
2024-11-17 22:25:36,-24,3,-30,2,2,1
2024-11-17 22:26:06,-22,4,-30,1,0,0
2024-11-17 22:26:36,-19,4,-29,0,1,-1
2024-11-17 22:27:06,-14,4,-27,1,1,-1
2024-11-17 22:27:36,-10,4,-25,1,2,-1
2024-11-17 22:28:06,-4,4,-21,0,1,-2
2024-11-17 22:28:36,2,3,-15,0,1,-3
2024-11-17 22:29:06,10,3,-8,-1,2,-3
2024-11-17 22:29:36,19,2,0,0,1,-3
2024-11-17 22:30:06,27,2,7,-1,1,-4
2024-11-17 22:30:36,36,2,16,0,0,-3
2024-11-17 22:31:06,45,3,26,-2,0,-3
2024-11-17 22:31:36,52,3,34,0,1,-3
2024-11-17 22:32:06,58,2,41,0,1,-2
2024-11-17 22:32:36,63,2,46,1,0,-2
2024-11-17 22:33:06,67,1,50,0,1,-1
2024-11-17 22:33:37,70,1,52,1,1,1
2024-11-17 22:34:07,71,1,51,1,1,2
2024-11-17 22:34:37,71,1,48,1,0,2
2024-11-17 22:35:07,71,1,45,1,0,3
2024-11-17 22:35:37,69,1,39,1,-1,2
2024-11-17 22:36:07,68,1,34,1,0,3
2024-11-17 22:36:37,66,1,29,0,0,1
2024-11-17 22:37:07,65,1,26,0,0,1
2024-11-17 22:37:37,65,0,25,1,0,0
2024-11-17 22:38:07,64,0,24,1,-1,1
2024-11-17 22:38:37,64,1,24,0,-1,0
2024-11-17 22:39:07,63,1,24,0,-1,0
2024-11-17 22:39:37,63,1,25,1,0,0
2024-11-17 22:40:07,62,0,26,0,0,-1
2024-11-17 22:40:37,61,0,27,1,-1,-1
2024-11-17 22:41:07,59,-1,29,1,-1,-2
2024-11-17 22:41:37,59,-1,31,0,0,-2
2024-11-17 22:42:07,57,-1,34,1,-1,-1
2024-11-17 22:42:37,56,0,37,1,-1,-2
2024-11-17 22:43:07,55,-1,42,1,0,-2
2024-11-17 22:43:37,54,-2,48,1,-1,-2
2024-11-17 22:44:07,53,-2,53,1,-1,-3
2024-11-17 22:44:37,52,-2,60,0,-1,-3
2024-11-17 22:45:07,51,-3,67,1,-1,-3
2024-11-17 22:45:37,49,-3,73,0,-1,-2
2024-11-17 22:46:07,47,-4,79,1,-1,-2
2024-11-17 22:46:37,46,-3,85,1,0,-2
2024-11-17 22:47:07,45,-3,91,2,-1,-3
2024-11-17 22:47:37,43,-3,97,0,-1,-2
2024-11-17 22:48:07,41,-2,103,1,-2,-2
2024-11-17 22:48:37,39,-1,108,1,-2,-2
