timestamp,magFieldVec_X,magFieldVec_Y,magFieldVec_Z,coarseSunVec_X,coarseSunVec_Y,coarseSunVec_Z,fineSunVec_X,fineSunVec_Y,fineSunVec_Z,nadirVec_X,nadirVec_Y,nadirVec_Z,angRateVec_X,angRateVec_Y,angRateVec_Z,wheelSpeedArr_X,wheelSpeedArr_Y,wheelSpeedArr_Z
2024-11-17 22:49:07,-133,-268,4616,0,0,0,0,0,0,0,0,0,2,-7,1,0,-3572,0
2024-11-17 22:50:05,-231,-240,4629,9174,-861,3886,0,0,0,-317,-833,9960,2,-9,-1,0,-3527,0
2024-11-17 22:50:35,-249,-216,4627,9764,-900,1961,0,0,0,-263,-863,9959,1,-10,0,0,-3505,0
2024-11-17 22:51:05,-261,-194,4637,9759,261,2164,0,0,0,-180,-845,9963,2,-10,-1,0,-3511,0
2024-11-17 22:51:35,-277,-168,4643,8873,-881,4527,0,0,0,-112,-778,9969,1,-10,0,0,-3527,0
2024-11-17 22:52:06,-307,-146,4642,9247,-701,3743,0,0,0,-70,-779,9969,3,-9,-1,0,-3538,0
2024-11-17 22:52:36,-339,-124,4649,9649,-1601,2082,0,0,0,-40,-807,9967,2,-10,-1,0,-3560,0
2024-11-17 22:53:06,-396,-100,4643,9842,-840,1560,0,0,0,-37,-802,9968,2,-7,-1,0,-3584,0
2024-11-17 22:53:36,-453,-63,4639,9942,340,1020,0,0,0,-45,-776,9970,1,-8,-2,0,-3591,0
2024-11-17 22:54:06,-526,-22,4633,9446,360,3262,0,0,0,-68,-666,9978,2,-9,-1,0,-3609,0
2024-11-17 22:54:36,-589,14,4623,9719,481,2304,0,0,0,-99,-640,9979,2,-8,0,0,-3609,0
2024-11-17 22:55:06,-663,48,4614,9545,-1221,2721,0,0,0,-131,-600,9981,2,-9,1,0,-3612,0
2024-11-17 22:55:36,-733,68,4593,9821,-1022,1583,0,0,0,-162,-607,9980,2,-10,1,0,-3616,0
2024-11-17 22:56:06,-806,96,4569,9989,-460,-20,0,0,0,-195,-631,9978,2,-9,2,0,-3608,0
2024-11-17 22:56:36,-869,116,4550,9998,-200,-60,0,0,0,-206,-619,9979,1,-9,1,0,-3613,0
2024-11-17 22:57:06,-928,134,4527,9982,400,440,0,0,0,-213,-612,9979,1,-9,1,0,-3608,0
2024-11-17 22:57:36,-987,142,4497,9987,-100,500,0,0,0,-201,-637,9978,1,-9,1,0,-3598,0
2024-11-17 22:58:06,-1042,146,4475,9893,-1041,-1021,0,0,0,-183,-701,9974,2,-10,1,0,-3599,0
2024-11-17 22:58:36,-1088,153,4440,9989,100,-460,0,0,0,-162,-703,9974,2,-10,1,0,-3612,0
2024-11-17 22:59:06,-1151,163,4406,9793,-2023,0,0,0,0,-155,-703,9974,3,-11,1,0,-3620,0
2024-11-17 22:59:36,-1214,180,4360,9999,120,100,0,0,0,-157,-687,9975,2,-9,1,0,-3638,0
2024-11-17 23:00:06,-1282,200,4316,9582,-2686,-982,0,0,0,-173,-699,9974,1,-10,2,0,-3632,0
2024-11-17 23:00:50,-1371,221,4241,9229,440,-3824,0,0,0,-183,-757,9970,1,-11,2,0,-3635,0
2024-11-17 23:01:20,-1428,239,4186,9851,-40,-1722,0,0,0,-164,-706,9974,2,-9,2,0,-3634,0
2024-11-17 23:01:50,-1483,242,4127,9547,-280,-2962,9841,-247,-1760,-150,-745,9971,2,-10,2,0,-3627,0
2024-11-17 23:02:20,-1526,247,4084,9212,2543,-2944,9798,-251,-1984,-115,-758,9971,1,-10,2,0,-3623,0
2024-11-17 23:02:50,-1570,253,4026,9757,541,-2124,9739,-203,-2259,-75,-745,9972,2,-11,1,0,-3619,0
2024-11-17 23:03:20,-1614,255,3973,8870,1722,-4285,9682,-181,-2497,-33,-793,9968,2,-10,1,0,-3626,0
2024-11-17 23:03:50,-1662,269,3906,9849,-480,-1662,9608,-130,-2769,-9,-718,9974,3,-11,1,0,-3649,0
2024-11-17 23:04:20,-1716,276,3839,9247,-160,-3803,9554,-105,-2951,-10,-757,9971,2,-10,1,0,-3664,0
2024-11-17 23:04:50,-1774,290,3759,9425,0,-3342,9488,-87,-3158,-19,-722,9974,2,-10,1,0,-3668,0
2024-11-17 23:05:20,-1845,299,3681,9676,-882,-2364,9416,-70,-3367,-38,-678,9977,3,-9,2,0,-3677,0
2024-11-17 23:05:50,-1903,319,3600,9891,-1021,-1061,9340,-76,-3572,-51,-616,9981,2,-10,1,0,-3672,0
2024-11-17 23:06:20,-1960,334,3513,9392,-781,-3344,9262,-100,-3770,-59,-645,9979,1,-10,3,0,-3656,0
2024-11-17 23:06:50,-2006,347,3434,8632,160,-5047,9177,-135,-3970,-54,-680,9977,1,-11,2,0,-3662,0
2024-11-17 23:07:20,-2059,359,3348,8726,-460,-4863,9092,-161,-4160,-63,-677,9977,0,-10,2,0,-3665,0
2024-11-17 23:07:50,-2113,372,3256,8630,-681,-5006,9001,-199,-4351,-77,-685,9976,1,-11,3,0,-3664,0
2024-11-17 23:08:20,-2167,384,3161,8475,441,-5289,8905,-255,-4544,-98,-708,9974,1,-10,2,0,-3658,0
2024-11-17 23:08:50,-2214,405,3061,8835,401,-4668,8801,-312,-4738,-110,-698,9975,0,-10,3,0,-3644,0
2024-11-17 23:09:20,-2259,419,2971,9195,441,-3906,8695,-373,-4925,-120,-699,9975,-1,-11,3,0,-3635,0
2024-11-17 23:09:50,-2308,434,2866,7938,-762,-6034,8596,-435,-5091,-153,-781,9968,-1,-10,3,0,-3630,0
2024-11-17 23:10:21,-2356,461,2757,8637,-561,-5010,8480,-513,-5275,-188,-804,9966,-3,-11,3,0,-3626,0
2024-11-17 23:10:51,-2410,478,2642,9090,-921,-4065,8373,-574,-5437,-237,-849,9961,-4,-10,4,0,-3601,0
2024-11-17 23:11:21,-2452,494,2527,7756,0,-6313,8262,-632,-5599,-291,-995,9946,-4,-11,2,0,-3567,0
2024-11-17 23:11:51,-2487,514,2416,7077,-1343,-6936,8141,-659,-5770,-327,-1099,9934,-5,-11,4,0,-3538,0
2024-11-17 23:12:21,-2518,528,2309,8471,-280,-5307,7998,-680,-5963,-324,-1158,9927,-5,-11,3,0,-3505,0
2024-11-17 23:12:51,-2547,547,2207,8665,-300,-4983,7842,-684,-6167,-313,-1241,9918,-4,-12,2,0,-3472,0
2024-11-17 23:13:21,-2573,568,2096,7997,-2024,-5652,7672,-661,-6380,-301,-1345,9905,-5,-11,2,0,-3446,0
2024-11-17 23:13:51,-2596,584,1996,7811,-961,-6169,7494,-643,-6590,-261,-1438,9893,-5,-12,2,0,-3418,0
2024-11-17 23:14:21,-2616,601,1887,7993,-841,-5950,7282,-598,-6828,-191,-1504,9884,-3,-12,1,0,-3396,0
2024-11-17 23:14:51,-2628,616,1798,7532,300,-6571,7092,-568,-7027,-116,-1556,9878,-3,-13,1,0,-3392,0
2024-11-17 23:15:21,-2646,636,1690,7111,-60,-7031,6874,-533,-7243,-45,-1570,9876,-1,-12,-1,0,-3410,0
2024-11-17 23:15:51,-2667,663,1573,7118,962,-6958,6674,-526,-7428,7,-1538,9881,0,-11,-1,0,-3422,0
2024-11-17 23:16:21,-2698,685,1441,6669,-1101,-7370,6482,-494,-7599,30,-1511,9885,-1,-10,0,0,-3433,0
2024-11-17 23:16:51,-2728,698,1315,6452,-621,-7615,6306,-492,-7745,59,-1459,9893,0,-11,-1,0,-3438,0
2024-11-17 23:17:21,-2752,714,1182,6851,441,-7271,6116,-503,-7895,89,-1364,9906,0,-10,-2,0,-3450,0
2024-11-17 23:17:51,-2783,731,1038,5809,-361,-8132,5934,-528,-8032,106,-1269,9919,1,-10,-1,0,-3469,0
2024-11-17 23:18:21,-2809,742,889,5931,-1583,-7894,5745,-566,-8165,118,-1118,9937,3,-10,0,0,-3502,0
2024-11-17 23:18:51,-2837,748,732,6430,-841,-7612,5557,-648,-8289,124,-938,9955,3,-9,-2,0,-3546,0
2024-11-17 23:19:21,-2856,757,572,5951,-160,-8035,5394,-751,-8387,112,-779,9969,4,-9,0,0,-3578,0
2024-11-17 23:19:51,-2878,768,420,5004,-941,-8607,5242,-826,-8476,92,-668,9977,1,-9,0,0,-3597,0
2024-11-17 23:20:21,-2897,768,262,4369,-541,-8979,5075,-894,-8570,77,-572,9983,2,-9,0,0,-3604,0
2024-11-17 23:20:51,-2905,769,97,4648,0,-8854,4890,-959,-8670,58,-455,9989,1,-10,0,0,-3616,0
2024-11-17 23:21:21,-2918,760,-79,4665,-1542,-8710,4707,-1014,-8764,33,-330,9995,3,-9,0,0,-3621,0
2024-11-17 23:21:51,-2928,757,-218,5072,-1544,-8479,4535,-1075,-8847,24,-220,9998,2,-9,0,0,-3638,0
2024-11-17 23:22:21,-2934,753,-383,3343,-1481,-9308,4361,-1146,-8926,7,-147,9999,1,-10,0,0,-3648,0
2024-11-17 23:22:51,-2928,738,-550,4664,-2122,-8587,4176,-1206,-9006,-12,-17,10000,0,-10,0,0,-3663,0
2024-11-17 23:23:21,-2920,730,-716,5748,-1342,-8072,3984,-1252,-9086,-17,10,10000,-1,-10,0,0,-3655,0
2024-11-17 23:23:51,-2917,720,-879,6331,-1282,-7634,3793,-1274,-9165,-31,35,10000,0,-10,0,0,-3634,0
2024-11-17 23:24:21,-2906,706,-1022,4189,-862,-9039,3617,-1306,-9231,-68,126,9999,0,-10,0,0,-3627,0
2024-11-17 23:24:51,-2896,682,-1183,2143,-1041,-9712,3416,-1345,-9302,-80,236,9997,1,-11,1,0,-3628,0
2024-11-17 23:25:21,-2880,668,-1335,1563,-621,-9858,3208,-1396,-9368,-77,321,9995,0,-12,0,0,-3629,0
2024-11-17 23:25:51,-2865,647,-1492,1942,-901,-9768,2985,-1413,-9439,-73,352,9994,0,-11,0,0,-3640,0
2024-11-17 23:26:21,-2840,624,-1646,922,-561,-9942,2795,-1433,-9494,-91,419,9991,-1,-10,1,0,-3636,0
2024-11-17 23:26:51,-2816,598,-1793,1302,-641,-9894,2594,-1468,-9546,-92,468,9989,-1,-12,0,0,-3622,0
2024-11-17 23:27:21,-2794,577,-1940,3106,-2545,-9158,2361,-1466,-9606,-75,447,9990,-3,-11,0,0,-3612,0
2024-11-17 23:27:51,-2762,552,-2084,-20,0,-10000,2150,-1472,-9655,-79,544,9985,-2,-10,0,0,-3599,0
2024-11-17 23:28:21,-2735,532,-2225,821,-541,-9952,1901,-1447,-9710,-45,529,9986,-2,-11,-1,0,-3585,0
2024-11-17 23:28:52,-2710,509,-2358,801,-481,-9956,1647,-1409,-9762,-16,520,9986,-3,-11,-1,0,-3579,0
2024-11-17 23:29:22,-2684,493,-2475,2604,-2224,-9395,1403,-1356,-9808,21,450,9990,-3,-11,-1,0,-3561,0
2024-11-17 23:29:52,-2657,460,-2601,2365,-2044,-9499,1130,-1327,-9847,65,457,9989,-2,-10,0,0,-3552,0
2024-11-17 23:30:22,-2624,426,-2737,401,-821,-9958,872,-1324,-9873,122,520,9986,-1,-10,-2,0,-3560,0
2024-11-17 23:30:52,-2588,408,-2861,1142,-2644,-9576,618,-1273,-9899,138,468,9988,-2,-11,0,0,-3558,0
2024-11-17 23:31:22,-2548,380,-2990,882,-4008,-9119,371,-1229,-9917,148,436,9989,-2,-11,-2,0,-3563,0
2024-11-17 23:31:52,-2507,356,-3102,360,-1821,-9826,174,-1219,-9924,169,478,9987,-3,-9,-2,0,-3568,0
2024-11-17 23:32:22,-2457,336,-3230,-80,-902,-9959,-49,-1186,-9929,176,483,9987,-3,-9,-3,0,-3564,0
2024-11-17 23:32:52,-2402,314,-3357,-280,-2683,-9629,-256,-1130,-9933,154,431,9990,-4,-10,-3,0,-3567,0
2024-11-17 23:33:22,-2330,291,-3481,-1563,-2645,-9517,-454,-1100,-9929,133,415,9990,-2,-9,-3,0,-3572,0
2024-11-17 23:33:52,-2263,263,-3604,-280,-500,-9984,-670,-1095,-9917,124,468,9988,-3,-9,-3,0,-3560,0
2024-11-17 23:34:22,-2204,238,-3703,-460,-700,-9965,-861,-1082,-9904,120,469,9988,-4,-10,-4,0,-3542,0
2024-11-17 23:34:52,-2142,229,-3813,-1461,-921,-9850,-1066,-1048,-9888,113,436,9990,-4,-10,-5,0,-3546,0
2024-11-17 23:35:22,-2066,203,-3921,-1703,-1382,-9757,-1280,-1037,-9863,98,436,9990,-4,-11,-3,0,-3545,0
2024-11-17 23:35:52,-1988,175,-4023,-1340,-960,-9863,-1470,-1048,-9836,72,471,9989,-2,-9,-4,0,-3560,0
2024-11-17 23:36:22,-1904,150,-4129,-1682,-681,-9834,-1658,-1066,-9804,35,501,9987,-4,-9,-3,0,-3550,0
2024-11-17 23:36:52,-1824,126,-4221,-1661,-1201,-9788,-1846,-1079,-9769,12,529,9986,-4,-10,-3,0,-3535,0
2024-11-17 23:37:22,-1744,104,-4306,-2625,-1182,-9577,-2046,-1100,-9726,5,551,9985,-4,-10,-2,0,-3541,0
2024-11-17 23:37:52,-1665,79,-4393,-1042,-721,-9919,-2270,-1115,-9675,-12,619,9981,-4,-11,-2,0,-3543,0
2024-11-17 23:38:22,-1578,70,-4476,-1901,-820,-9783,-2465,-1117,-9627,-24,624,9980,-4,-9,-3,0,-3543,0
2024-11-17 23:38:52,-1492,54,-4550,-1202,-401,-9919,-2690,-1132,-9565,-31,675,9977,-4,-11,-2,0,-3538,0
2024-11-17 23:39:22,-1421,44,-4617,-3705,-1182,-9213,-2861,-1120,-9516,-30,633,9980,-4,-10,-2,0,-3543,0
2024-11-17 23:39:52,-1338,36,-4677,-3263,-1761,-9287,-3090,-1107,-9446,-30,652,9979,-3,-11,-2,0,-3542,0
2024-11-17 23:40:22,-1259,27,-4739,-3844,-1822,-9050,-3298,-1099,-9376,-26,652,9979,-3,-10,-3,0,-3544,0
2024-11-17 23:40:52,-1185,20,-4792,-2725,-922,-9577,-3540,-1104,-9287,-12,705,9975,-4,-11,-3,0,-3540,0
