timestamp,a__int16__estQSet,a__int16__estAngRateVec
2024-10-31 06:58:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 06:58:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 06:59:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 06:59:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:00:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:00:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:01:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:01:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:02:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:02:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:03:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:03:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:04:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:04:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:05:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:05:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:06:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:06:59,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:07:29,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:08:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:08:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:09:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:09:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:10:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:10:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:11:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:11:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:12:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:12:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:13:00,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:13:30,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 07:14:00,"[0, 0, 0]","[0, 0, 0]"
