timestamp,a__int16__taskStackMaxUnusedSize
2024-11-07 19:14:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:14:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:15:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:15:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:16:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:16:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:17:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:17:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:18:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:18:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:19:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:19:39,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:20:09,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
2024-11-07 19:21:00,"[464, 1340, 496, 2376, 628, 10240, -1, 1552, 3916, -1, -1, 2116, 1160, -1, 1856, 4876, 2316, 3972, 2320, 2388, 1236, 820, 2812, 1924, 1488, -1, -1, 324, -1, -1]"
