timestamp,estQSet_Q1,estQSet_Q2,estQSet_Q3,estQSet_X,estQSet_Y,estQSet_Z
2024-10-31 01:18:56,-27,-1,-47,4,-1,3
2024-10-31 01:19:26,-28,-1,-57,4,-1,3
2024-10-31 01:19:56,-27,-1,-64,3,-1,2
2024-10-31 01:20:26,-25,-1,-70,3,-1,2
2024-10-31 01:20:56,-20,-1,-72,2,-1,1
2024-10-31 01:21:26,-13,0,-72,2,0,1
2024-10-31 01:21:56,-6,0,-71,1,0,0
2024-10-31 01:22:26,0,0,-70,1,-1,1
2024-10-31 01:22:56,5,0,-70,2,0,1
2024-10-31 01:23:26,9,0,-72,2,-1,3
2024-10-31 01:23:56,11,-1,-77,2,-1,3
2024-10-31 01:24:26,14,-1,-80,2,-1,2
2024-10-31 01:24:56,18,-1,-80,2,-1,0
2024-10-31 01:25:26,24,-1,-75,1,-1,-1
2024-10-31 01:25:56,30,-1,-68,1,-1,-1
2024-10-31 01:26:26,36,-2,-62,2,-1,0
2024-10-31 01:26:56,40,-3,-58,1,-1,1
2024-10-31 01:27:26,44,-4,-56,1,-1,1
2024-10-31 01:27:56,47,-5,-52,2,-1,0
2024-10-31 01:28:26,50,-6,-48,1,-2,0
2024-10-31 01:28:56,54,-7,-41,1,-1,-1
2024-10-31 01:29:26,58,-7,-34,2,-2,-1
2024-10-31 01:29:56,61,-7,-28,1,-2,-1
2024-10-31 01:30:26,63,-7,-25,2,-2,0
2024-10-31 01:30:57,65,-8,-24,1,-3,1
2024-10-31 01:31:27,66,-8,-25,1,-3,2
2024-10-31 01:31:57,67,-9,-30,1,-2,3
2024-10-31 01:32:27,67,-9,-35,1,-3,3
2024-10-31 01:32:57,68,-8,-40,1,-2,2
2024-10-31 01:33:27,69,-9,-43,1,-2,2
2024-10-31 01:33:57,69,-8,-45,2,-3,2
2024-10-31 01:34:27,70,-7,-45,1,-3,1
2024-10-31 01:34:57,71,-7,-46,1,-2,2
2024-10-31 01:35:27,71,-7,-49,1,-3,2
2024-10-31 01:35:57,72,-7,-53,1,-2,1
2024-10-31 01:36:27,73,-7,-56,1,-2,1
2024-10-31 01:36:57,80,-18,-80,1,-4,3
2024-10-31 01:37:27,81,-14,-91,1,-4,3
2024-10-31 01:37:57,80,-8,-99,1,-4,3
2024-10-31 01:38:27,79,-5,-104,1,-2,3
2024-10-31 01:38:57,78,-5,-104,0,-2,2
2024-10-31 01:39:27,78,-7,-103,0,-2,2
2024-10-31 01:39:57,77,-7,-100,1,-2,2
2024-10-31 01:40:27,77,-7,-98,0,-3,2
2024-10-31 01:40:57,76,-6,-97,1,-2,2
2024-10-31 01:41:27,75,-5,-95,1,-2,1
2024-10-31 01:41:57,74,-5,-92,0,-1,1
2024-10-31 01:42:27,73,-6,-89,0,-2,2
2024-10-31 01:42:57,71,-5,-86,0,-2,2
2024-10-31 01:43:27,70,-4,-84,0,-2,2
2024-10-31 01:43:57,68,-4,-82,0,-1,2
2024-10-31 01:44:27,67,-4,-82,0,-1,1
2024-10-31 01:44:57,65,-3,-83,-1,-1,1
2024-10-31 01:45:27,64,-3,-90,-1,-1,1
2024-10-31 01:45:57,62,-2,-94,-1,-1,1
2024-10-31 01:46:27,60,-2,-97,0,-1,0
2024-10-31 01:46:57,58,-1,-100,0,-1,0
2024-10-31 01:47:27,56,-1,-102,0,-1,0
2024-10-31 01:47:57,53,0,-103,0,0,-1
2024-10-31 01:48:27,50,0,-105,0,0,0
2024-10-31 01:48:57,47,0,-107,0,-1,-1
2024-10-31 01:49:27,44,0,-108,0,0,-1
2024-10-31 01:49:58,39,-2,-107,2,0,-2
2024-10-31 01:50:28,33,-3,-102,3,-1,-3
2024-10-31 01:50:58,25,-4,-94,4,-1,-4
2024-10-31 01:51:28,14,-3,-82,5,-1,-4
2024-10-31 01:51:58,3,-3,-71,6,-2,-5
2024-10-31 01:52:28,-9,-4,-57,7,-1,-6
2024-10-31 01:52:58,-25,-5,-41,7,-1,-6
2024-10-31 01:53:28,-40,-5,-27,5,-2,-5
2024-10-31 01:53:58,-49,-5,-20,3,-1,-3
2024-10-31 01:54:28,-56,-4,-14,3,-1,-3
2024-10-31 01:54:58,-59,-5,-11,2,-2,-2
2024-10-31 01:55:28,-60,-5,-10,1,-1,-2
2024-10-31 01:55:58,-60,-6,-8,0,-1,-1
2024-10-31 01:56:28,-60,-6,-8,0,-2,-2
2024-10-31 01:56:58,-59,-6,-7,1,-2,-2
2024-10-31 01:57:28,-59,-7,-6,1,-2,-2
2024-10-31 01:57:58,-58,-7,-5,0,-2,-2
2024-10-31 01:58:28,-52,-6,-5,-2,-2,-1
2024-10-31 01:58:58,-42,-5,-6,-4,-1,-1
2024-10-31 01:59:28,-30,-3,-7,-4,-1,-2
2024-10-31 01:59:58,-18,-2,-8,-5,-1,-2
2024-10-31 02:00:28,-6,-1,-8,-5,-1,-2
2024-10-31 02:00:58,5,-1,-8,-6,-1,-2
2024-10-31 02:01:28,17,0,-5,-6,0,-3
2024-10-31 02:01:58,27,0,-3,-4,0,-3
2024-10-31 02:02:28,35,1,0,-4,0,-3
2024-10-31 02:02:58,42,1,1,-3,0,-2
2024-10-31 02:03:28,46,2,2,-2,0,-2
2024-10-31 02:03:58,47,1,2,0,0,-1
2024-10-31 02:04:28,47,0,2,-1,1,-1
2024-10-31 02:04:58,48,0,1,0,0,-1
2024-10-31 02:05:28,48,0,0,0,-1,-1
2024-10-31 02:05:58,51,0,1,-1,-1,-2
2024-10-31 02:06:28,53,0,2,0,0,-2
2024-10-31 02:06:58,53,0,1,0,-1,-1
2024-10-31 02:07:29,53,0,0,1,0,-1
2024-10-31 02:07:59,52,0,-2,1,0,0
2024-10-31 02:08:29,51,0,-5,1,0,0
2024-10-31 02:08:59,50,0,-8,1,0,0
2024-10-31 02:09:29,49,0,-10,1,0,-1
2024-10-31 02:09:59,48,1,-12,1,0,-1
2024-10-31 02:10:29,49,1,-13,0,0,-2
2024-10-31 02:10:59,52,2,-10,-1,1,-4
2024-10-31 02:11:29,57,3,-3,-1,0,-5
2024-10-31 02:11:59,60,4,1,0,1,-4
2024-10-31 02:12:29,63,3,6,0,1,-4
2024-10-31 02:12:59,65,3,10,0,1,-4
2024-10-31 02:13:29,65,2,12,0,1,-3
2024-10-31 02:13:59,65,3,11,0,0,-2
2024-10-31 02:14:29,63,4,8,0,0,-1
2024-10-31 02:14:59,60,4,3,0,1,0
2024-10-31 02:15:29,57,3,-4,0,1,0
2024-10-31 02:15:59,53,3,-13,0,0,2
2024-10-31 02:16:29,48,3,-24,0,0,3
2024-10-31 02:16:59,43,3,-38,1,1,3
2024-10-31 02:17:29,37,3,-52,0,0,4
2024-10-31 02:17:59,32,2,-68,0,0,4
2024-10-31 02:18:29,26,2,-82,0,0,4
2024-10-31 02:18:59,21,1,-97,0,0,3
2024-10-31 02:19:29,17,0,-109,0,0,3
2024-10-31 02:19:59,14,-1,-118,0,0,1
2024-10-31 02:20:29,12,-1,-121,0,-1,0
2024-10-31 02:20:59,10,-1,-122,1,0,-2
2024-10-31 02:21:29,9,-1,-118,1,-1,-3
2024-10-31 02:21:59,7,-1,-112,1,-1,-3
