timestamp,uint16__adcsErrFlags,int32__estAngRateNorm,a__int32__estAngRateVec,a__int32__estAttAngles,a__int16__measWheelSpeed
2024-10-31 03:25:33,0,0,"[0, 0, 0]","[15270, -750, -9910]","[0, -3905, 0]"
2024-10-31 03:26:03,0,0,"[0, 0, 0]","[15460, -990, -10700]","[0, -3905, 0]"
2024-10-31 03:26:33,0,0,"[0, 0, 0]","[15300, -1060, -11080]","[0, -3896, 0]"
2024-10-31 03:27:03,0,0,"[0, 0, 0]","[14790, -950, -11120]","[0, -3862, 0]"
2024-10-31 03:27:33,0,0,"[0, 0, 0]","[14070, -890, -10880]","[0, -3845, 0]"
2024-10-31 03:28:03,0,0,"[0, 0, 0]","[13100, -680, -10410]","[0, -3810, 0]"
2024-10-31 03:28:33,0,0,"[0, 0, 0]","[11870, -490, -9690]","[0, -3783, 0]"
2024-10-31 03:29:03,0,0,"[0, 0, 0]","[10480, -330, -8950]","[0, -3756, 0]"
2024-10-31 03:29:33,0,0,"[0, 0, 0]","[9200, -210, -8400]","[0, -3727, 0]"
2024-10-31 03:30:03,0,0,"[0, 0, 0]","[8170, -270, -8120]","[0, -3712, 0]"
2024-10-31 03:30:33,0,0,"[0, 0, 0]","[7190, -320, -7870]","[0, -3705, 0]"
2024-10-31 03:31:03,0,0,"[0, 0, 0]","[5950, -390, -7420]","[0, -3712, 0]"
2024-10-31 03:31:33,0,0,"[0, 0, 0]","[4700, -360, -7020]","[0, -3721, 0]"
2024-10-31 03:32:03,0,0,"[0, 0, 0]","[3560, -240, -6680]","[0, -3706, 0]"
2024-10-31 03:32:33,0,0,"[0, 0, 0]","[2510, -190, -6400]","[0, -3690, 0]"
2024-10-31 03:33:03,0,0,"[0, 0, 0]","[1350, -170, -6060]","[0, -3671, 0]"
2024-10-31 03:33:33,0,0,"[0, 0, 0]","[460, -350, -5910]","[0, -3683, 0]"
2024-10-31 03:34:03,0,0,"[0, 0, 0]","[-380, -410, -5760]","[0, -3701, 0]"
2024-10-31 03:34:33,0,0,"[0, 0, 0]","[-1270, -310, -5610]","[0, -3712, 0]"
2024-10-31 03:35:03,0,0,"[0, 0, 0]","[-2120, -100, -5520]","[0, -3696, 0]"
2024-10-31 03:35:33,0,0,"[0, 0, 0]","[-2870, 0, -5300]","[0, -3689, 0]"
2024-10-31 03:36:03,0,0,"[0, 0, 0]","[-3110, 130, -5110]","[0, -3673, 0]"
2024-10-31 03:36:33,0,0,"[0, 0, 0]","[-3030, 150, -4750]","[0, -3666, 0]"
2024-10-31 03:37:03,0,0,"[0, 0, 0]","[-3030, 280, -4410]","[0, -3646, 0]"
2024-10-31 03:37:34,0,0,"[0, 0, 0]","[-3280, 360, -4230]","[0, -3625, 0]"
2024-10-31 03:38:04,0,0,"[0, 0, 0]","[-3520, 400, -4090]","[0, -3609, 0]"
2024-10-31 03:38:34,0,0,"[0, 0, 0]","[-3730, 400, -4000]","[0, -3589, 0]"
2024-10-31 03:39:04,0,0,"[0, 0, 0]","[-3940, 290, -3980]","[0, -3586, 0]"
2024-10-31 03:39:34,0,0,"[0, 0, 0]","[-4370, 270, -4190]","[0, -3571, 0]"
2024-10-31 03:40:04,0,0,"[0, 0, 0]","[-4830, 210, -4360]","[0, 0, 0]"
2024-10-31 03:40:34,0,0,"[0, 0, 0]","[-5270, 30, -4460]","[0, -3552, 0]"
2024-10-31 03:41:04,0,0,"[0, 0, 0]","[-5500, -120, -4400]","[0, -3553, 0]"
2024-10-31 03:41:34,0,0,"[0, 0, 0]","[-5570, -260, -4170]","[0, -3549, 0]"
