timestamp,a__int16__magFieldVec,a__int16__coarseSunVec,a__int16__fineSunVec,a__int16__nadirVec,a__int16__angRateVec,a__int16__wheelSpeedArr
2024-10-31 05:32:10,"[762, -611, -4732]","[-8568, -1161, -5025]","[-8217, -2116, -5291]","[-56, 868, 9962]","[4, -25, -1]","[0, -3755, 0]"
2024-10-31 05:32:40,"[867, -558, -4641]","[-8455, -321, -5330]","[-8402, -2000, -5040]","[-71, 811, 9967]","[4, -24, -1]","[0, -3774, 0]"
2024-10-31 05:33:10,"[966, -518, -4547]","[-8497, 140, -5271]","[-8546, -1904, -4831]","[-110, 760, 9970]","[4, -24, -1]","[0, -3763, 0]"
2024-10-31 05:33:40,"[1070, -470, -4428]","[-9116, 180, -4107]","[-8705, -1789, -4586]","[-141, 677, 9976]","[4, -25, -1]","[0, -3759, 0]"
2024-10-31 05:34:10,"[1168, -425, -4304]","[-9185, 940, -3842]","[-8843, -1688, -4352]","[-192, 614, 9979]","[3, -25, -1]","[0, -3752, 0]"
2024-10-31 05:34:40,"[1260, -378, -4175]","[-8617, -661, -5030]","[-8979, -1577, -4110]","[-265, 576, 9980]","[3, -25, -1]","[0, -3740, 0]"
2024-10-31 05:35:10,"[1328, -330, -4042]","[-8267, -961, -5544]","[-9112, -1499, -3837]","[-304, 525, 9982]","[3, -26, -1]","[0, -3717, 0]"
2024-10-31 05:35:40,"[1369, -295, -3909]","[-8668, -1001, -4885]","[-9245, -1439, -3531]","[-288, 481, 9984]","[4, -27, -1]","[0, -3702, 0]"
2024-10-31 05:36:10,"[1391, -270, -3784]","[-9135, -1322, -3846]","[-9368, -1373, -3219]","[-242, 438, 9987]","[4, -26, 0]","[0, -3693, 0]"
2024-10-31 05:36:40,"[1410, -245, -3652]","[-9404, -640, -3341]","[-9493, -1304, -2860]","[-183, 396, 9990]","[3, -26, -1]","[0, -3688, 0]"
2024-10-31 05:37:10,"[1409, -223, -3525]","[-9566, 420, -2882]","[-9608, -1231, -2483]","[-110, 356, 9993]","[3, -26, 0]","[0, -3692, 0]"
2024-10-31 05:37:40,"[1409, -205, -3390]","[-9663, 880, -2421]","[-9707, -1148, -2112]","[-49, 311, 9995]","[3, -26, 0]","[0, -3695, 0]"
2024-10-31 05:38:10,"[1404, -193, -3259]","[-9593, -320, -2804]","[0, 0, 0]","[3, 302, 9995]","[2, -26, 0]","[0, -3699, 0]"
2024-10-31 05:38:40,"[1388, -188, -3130]","[-9790, -681, -1922]","[0, 0, 0]","[52, 251, 9997]","[2, -25, 0]","[0, -3702, 0]"
2024-10-31 05:39:10,"[1377, -189, -3015]","[-9979, -240, -601]","[0, 0, 0]","[80, 202, 9998]","[2, -25, 0]","[0, -3704, 0]"
2024-10-31 05:39:40,"[1362, -192, -2887]","[-9923, -200, -1220]","[0, 0, 0]","[99, 182, 9998]","[1, -25, 1]","[0, -3725, 0]"
2024-10-31 05:40:10,"[1353, -192, -2759]","[-9991, -240, -360]","[0, 0, 0]","[51, 96, 9999]","[-1, -25, 2]","[0, -3733, 0]"
2024-10-31 05:40:40,"[1356, -177, -2630]","[-9909, 641, 1181]","[0, 0, 0]","[0, 0, 10000]","[0, -25, 2]","[0, -3733, 0]"
2024-10-31 05:41:10,"[1345, -161, -2518]","[-9879, 180, 1543]","[0, 0, 0]","[-82, -87, 9999]","[0, -25, 1]","[0, -3719, 0]"
2024-10-31 05:41:40,"[1324, -154, -2413]","[-9780, -762, 1944]","[0, 0, 0]","[-138, -154, 9998]","[1, -25, 0]","[0, -3700, 0]"
2024-10-31 05:42:10,"[1297, -147, -2328]","[-9812, -160, 1922]","[0, 0, 0]","[-161, -192, 9997]","[1, -26, 0]","[0, -3683, 0]"
2024-10-31 05:42:40,"[1262, -136, -2241]","[-9591, -2563, 1201]","[0, 0, 0]","[-183, -246, 9995]","[2, -26, -2]","[0, -3685, 0]"
2024-10-31 05:43:10,"[1229, -129, -2163]","[-9744, -2241, 180]","[0, 0, 0]","[-218, -253, 9994]","[3, -27, -3]","[0, -3697, 0]"
2024-10-31 05:43:40,"[1199, -130, -2090]","[-9888, -861, 1221]","[0, 0, 0]","[-246, -188, 9995]","[4, -27, -3]","[0, -3704, 0]"
2024-10-31 05:44:11,"[1168, -132, -2024]","[-9640, -1363, 2285]","[0, 0, 0]","[-265, -131, 9996]","[5, -27, -3]","[0, -3696, 0]"
2024-10-31 05:44:41,"[1129, -125, -1976]","[-9324, -1821, 3121]","[0, 0, 0]","[-243, -94, 9997]","[5, -27, -4]","[0, -3669, 0]"
2024-10-31 05:45:11,"[1089, -117, -1945]","[-9047, -2142, 3683]","[0, 0, 0]","[-183, -47, 9998]","[6, -28, -5]","[0, -3660, 0]"
2024-10-31 05:45:41,"[1043, -124, -1914]","[-8998, -2425, 3627]","[0, 0, 0]","[-126, 40, 9999]","[6, -27, -5]","[0, -3661, 0]"
2024-10-31 05:46:11,"[1004, -139, -1889]","[-8680, -2787, 4110]","[0, 0, 0]","[-61, 152, 9999]","[6, -27, -4]","[0, -3671, 0]"
2024-10-31 05:46:41,"[969, -152, -1872]","[-8431, -1963, 5007]","[0, 0, 0]","[-10, 229, 9997]","[6, -27, -4]","[0, -3682, 0]"
2024-10-31 05:47:11,"[948, -159, -1855]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, -26, -4]","[0, -3704, 0]"
2024-10-31 05:47:41,"[936, -170, -1840]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, -26, -4]","[0, -3704, 0]"
2024-10-31 05:48:11,"[928, -175, -1832]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, -26, -4]","[0, -3691, 0]"
2024-10-31 05:48:41,"[921, -178, -1830]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -26, -3]","[0, -3680, 0]"
2024-10-31 05:49:11,"[917, -186, -1833]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -26, -3]","[0, -3681, 0]"
2024-10-31 05:49:41,"[912, -190, -1833]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -26, -3]","[0, -3667, 0]"
2024-10-31 05:50:11,"[909, -192, -1841]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -26, -3]","[0, -3664, 0]"
2024-10-31 05:50:41,"[925, -196, -1850]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -26, -2]","[0, -3688, 0]"
2024-10-31 05:51:11,"[950, -200, -1844]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -25, -2]","[0, -3711, 0]"
2024-10-31 05:51:41,"[992, -202, -1836]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, -25, -2]","[0, -3730, 0]"
2024-10-31 05:52:11,"[1047, -197, -1823]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, -24, 0]","[0, -3760, 0]"
