timestamp,magFieldVec_X,magFieldVec_Y,magFieldVec_Z,coarseSunVec_X,coarseSunVec_Y,coarseSunVec_Z,fineSunVec_X,fineSunVec_Y,fineSunVec_Z,nadirVec_X,nadirVec_Y,nadirVec_Z,angRateVec_X,angRateVec_Y,angRateVec_Z,wheelSpeedArr_X,wheelSpeedArr_Y,wheelSpeedArr_Z
2024-11-18 02:56:18,2179,412,2555,0,0,0,0,0,0,0,0,0,3,-10,0,0,-3670,0
2024-11-18 02:56:48,2148,476,2660,0,0,0,0,0,0,0,0,0,2,-10,0,0,-3664,0
2024-11-18 02:57:18,2114,531,2766,0,0,0,0,0,0,0,0,0,2,-10,0,0,-3640,0
2024-11-18 02:57:48,2089,583,2860,0,0,0,0,0,0,0,0,0,2,-10,1,0,-3618,0
2024-11-18 02:58:18,2057,639,2945,0,0,0,0,0,0,0,0,0,1,-11,1,0,-3606,0
2024-11-18 02:58:48,2009,710,3049,0,0,0,0,0,0,0,0,0,1,-11,1,0,-3578,0
2024-11-18 02:59:18,1976,768,3139,0,0,0,0,0,0,0,0,0,1,-11,1,0,-3557,0
2024-11-18 02:59:48,1933,821,3229,0,0,0,0,0,0,0,0,0,0,-11,2,0,-3553,0
2024-11-18 03:00:18,1885,867,3315,0,0,0,0,0,0,0,0,0,1,-10,0,0,-3531,0
2024-11-18 03:00:48,1835,919,3403,0,0,0,0,0,0,0,0,0,-1,-11,0,0,-3491,0
2024-11-18 03:01:18,1788,969,3483,0,0,0,0,0,0,0,0,0,0,-11,0,0,-3466,0
2024-11-18 03:01:48,1747,1012,3558,0,0,0,0,0,0,0,0,0,0,-13,0,0,-3451,0
2024-11-18 03:02:18,1704,1049,3627,0,0,0,0,0,0,0,0,0,0,-12,-2,0,-3456,0
2024-11-18 03:02:48,1656,1084,3695,0,0,0,0,0,0,0,0,0,-1,-12,-3,0,-3445,0
2024-11-18 03:03:18,1607,1112,3768,0,0,0,0,0,0,0,0,0,-1,-11,-3,0,-3443,0
2024-11-18 03:03:48,1560,1140,3833,0,0,0,0,0,0,0,0,0,-1,-12,-3,0,-3439,0
2024-11-18 03:04:18,1510,1156,3899,0,0,0,0,0,0,0,0,0,0,-13,-4,0,-3443,0
2024-11-18 03:04:48,1464,1171,3949,0,0,0,0,0,0,0,0,0,-1,-13,-4,0,-3448,0
2024-11-18 03:05:18,1417,1178,4012,0,0,0,0,0,0,0,0,0,-1,-12,-4,0,-3470,0
2024-11-18 03:05:48,1364,1184,4069,0,0,0,0,0,0,0,0,0,-1,-12,-5,0,-3493,0
2024-11-18 03:06:18,1321,1181,4115,0,0,0,0,0,0,0,0,0,0,-12,-6,0,-3517,0
2024-11-18 03:06:48,1280,1190,4162,0,0,0,0,0,0,0,0,0,0,-12,-6,0,-3557,0
