timestamp,a__uint8__adcsState
2024-10-22 16:01:09,"[33, 243, 143, 0, 32, 4]"
2024-10-22 16:01:39,"[33, 243, 143, 0, 32, 4]"
2024-10-22 16:02:09,"[33, 243, 143, 0, 32, 4]"
2024-10-22 16:02:39,"[33, 243, 143, 0, 32, 4]"
2024-10-22 16:03:13,"[33, 243, 143, 0, 0, 4]"
2024-10-22 16:03:43,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:04:13,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:04:43,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:05:13,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:05:43,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:06:13,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:06:43,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:07:13,"[54, 243, 143, 0, 0, 4]"
2024-10-22 16:07:43,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:08:13,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:08:43,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:09:13,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:09:43,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:10:13,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:10:44,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:11:14,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:11:44,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:12:14,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:12:44,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:13:14,"[54, 243, 143, 0, 32, 4]"
2024-10-22 16:13:44,"[70, 243, 15, 0, 32, 4]"
2024-10-22 16:14:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:14:44,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:15:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:15:44,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:16:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:16:44,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:17:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:17:44,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:18:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:18:44,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:19:14,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:19:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:20:14,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:20:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:21:14,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:21:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:22:14,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:22:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:23:14,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:23:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:24:14,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:24:44,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:25:14,"[70, 243, 15, 0, 32, 36]"
