timestamp,adcsErrFlags,estAngRateNorm,estAngRateVec_X,estAngRateVec_Y,estAngRateVec_Z,estAttAngles_Roll,estAttAngles_Pitch,estAttAngles_Yaw,measWheelSpeed_X,measWheelSpeed_Y,measWheelSpeed_Z
2024-11-18 03:58:05,0,0,0,0,0,-4290,-510,-6390,0,-3555,0
2024-11-18 03:58:35,0,0,0,0,0,-4150,-750,-6020,0,-3584,0
2024-11-18 03:59:05,0,0,0,0,0,-4010,-750,-5710,0,-3583,0
2024-11-18 03:59:35,0,0,0,0,0,-3810,-740,-5410,0,-3572,0
2024-11-18 04:00:05,0,0,0,0,0,-3680,-750,-5090,0,-3560,0
2024-11-18 04:00:35,0,0,0,0,0,-3630,-830,-4830,0,-3560,0
2024-11-18 04:01:05,0,0,0,0,0,-3810,-840,-4770,0,-3550,0
2024-11-18 04:01:35,0,0,0,0,0,-4030,-850,-4770,0,-3540,0
2024-11-18 04:02:06,0,0,0,0,0,-4250,-930,-4790,0,-3535,0
2024-11-18 04:02:36,0,0,0,0,0,-4480,-1060,-4840,0,-3547,0
2024-11-18 04:03:06,0,0,0,0,0,-4650,-1110,-4830,0,-3557,0
2024-11-18 04:03:36,0,0,0,0,0,-4650,-1130,-4680,0,-3558,0
2024-11-18 04:04:06,0,0,0,0,0,-4580,-1110,-4420,0,-3557,0
2024-11-18 04:04:36,0,0,0,0,0,-4550,-1120,-4140,0,-3566,0
2024-11-18 04:05:06,0,0,0,0,0,-4470,-1120,-3790,0,-3568,0
2024-11-18 04:05:36,0,0,0,0,0,-4290,-1110,-3320,0,-3578,0
2024-11-18 04:06:06,0,0,0,0,0,-4150,-1050,-2890,0,-3578,0
2024-11-18 04:06:36,0,0,0,0,0,-4120,-1120,-2550,0,-3599,0
2024-11-18 04:07:06,0,0,0,0,0,-4100,-1110,-2320,0,-3621,0
2024-11-18 04:07:36,0,0,0,0,0,-4130,-920,-2110,0,-3606,0
2024-11-18 04:08:06,0,0,0,0,0,-4140,-840,-1920,0,-3596,0
